Area,Total
Recorded Airframe,2101.09
Recorded Avionics,2370.29
Recorded Internal Mech,3706.63
Recorded Propulsion,2215.23
Recorded Starship,648.35
Recorded Travel,1030.22
Recorded SummerI,2712.85
Recorded SummerII,720.59
Recorded Fall2023,3871.34
Recorded Spring2023,4767.03
Proposed Airframe,5298.36
Proposed Avionics,3690
Proposed Internal Mech,8250.61
Proposed Propulsion,8246.29
Proposed Starship,1312.67
Proposed Travel,0
Proposed SummerI,3397.11
Proposed SummerII,2738.82
Proposed Fall2023,8040.31
Proposed Spring2023,13320.83
