Item,Description,Importance,Vendor,Price,Quantity,Cost,Subgroup,Group,Semester
UHMWPE CORD,0.8 mm,Pretty Important,AMAZON,12.95,3,38.85,Internal Mech,Redshift,Spring 2023
UHMWPE CORD,0.8 mm,Pretty Important,AMAZON,12.95,3,38.85,Internal Mech,Redshift,Fall 2022
MA OUTPUT DUCERS,0-1000 psi 4-20mA ducers,Necessary for Any Progress,GRAINGER,469.35,2,938.70,Propulsion,Redshift,Spring 2023
MA OUTPUT DUCERS,0-1000 psi 4-20mA ducers,Necessary for Any Progress,GRAINGER,469.35,2,938.70,Propulsion,Redshift,Fall 2022
-06 K-SEAL,-06 PTFE k-seal for kero outlet,Necessary for Any Progress,TECHNETICS,63.00,1,63.00,Propulsion,Redshift,Spring 2023
-06 K-SEAL,-06 PTFE k-seal for kero outlet,Necessary for Any Progress,TECHNETICS,63.00,1,63.00,Propulsion,Redshift,Fall 2022
-08 K-SEAL,-08 k-seal for kero inlet and lox inlet,Necessary for Any Progress,TECHNETICS,63.00,2,126.00,Propulsion,Redshift,Spring 2023
-08 K-SEAL,-08 k-seal for kero inlet and lox inlet,Necessary for Any Progress,TECHNETICS,63.00,2,126.00,Propulsion,Redshift,Fall 2022
ALUMINUM TUBE,"1/2"" x 1'",Pretty Important,,10.01,3,30.03,Internal Mech,Redshift,Spring 2023
BOLTS FOR LOAD CELL,"1/2""-20 Thread Size, 1-7/8"" Long",Necessary for Any Progress,MCMASTER,4.29,1,4.29,Propulsion,Redshift,Summer II 2022
LEAD SCREW NUT,1/4-12 4-start cylindrical,Pretty Important,MCMASTER,45.38,2,90.76,Internal Mech,Redshift,Spring 2023
LEAD SCREW NUT,1/4-12 4-start threaded,Pretty Important,MCMASTER,77.73,2,155.46,Internal Mech,Redshift,Spring 2023
LEAD SCREW NUT,1/4-12 4-start threaded,Pretty Important,MCMASTER,77.73,3,233.19,Internal Mech,Redshift,Fall 2022
THREADED ROD,1/4-20 x 6',Pretty Important,MCMASTER,7.87,2,15.74,Internal Mech,Redshift,Spring 2023
UNGROUNDED TC PROBES,"1/8"" miniplug probes",Pretty Important,GRAINGER,34.90,2,69.80,Propulsion,Redshift,Spring 2023
UNGROUNDED TC PROBES,"1/8"" miniplug probes",Necessary for Any Progress,GRAINGER,34.90,2,69.80,Propulsion,Redshift,Fall 2022
