Area,Total
Recorded Airframe,2101.09
Recorded Avionics,2370.29
Recorded Internal Mech,3706.63
Recorded Propulsion,2215.23
Recorded Starship,648.35
Recorded Travel,1030.22
Recorded SummerI,2712.85
Recorded SummerII,720.59
Recorded Fall2023,3871.34
Recorded Spring2023,4767.03
Proposed Airframe,5298.36
Proposed Avionics,3690
Proposed Internal Mech,8250.61
Proposed Propulsion,8246.29
Proposed Starship,1312.67
Proposed Travel,0
Proposed SummerI,3397.11
Proposed SummerII,2738.82
Proposed Fall2023,8040.31
Proposed Spring2023,13320.83
Airframe SummerI,150.54
Avionics SummerI,667.41
Internal Mech SummerI,961.64
Propulsion SummerI,933.26
Starship SummerI,0
Airframe SummerII,0
Avionics SummerII,209.02
Internal Mech SummerII,324.92
Propulsion SummerII,186.65
Starship SummerII,0
Airframe Fall2023,955.19
Avionics Fall2023,1315.65
Internal Mech Fall2023,1265.75
Propulsion Fall2023,66.92
Starship Fall2023,227.83
Airframe Spring2023,955.36
Avionics Spring2023,178.21
Internal Mech Spring2023,1154.32
Propulsion Spring2023,1028.4
Starship Spring2023,420.52
